Date,Total_News_Count,Total_Sentiment_Mean,Sent_경제,Sent_사회,Sent_지역,Sent_정치
2015-01,74,-0.02702702702702703,-0.06666666666666667,-0.05555555555555555,0.1111111111111111,-0.4
2015-02,118,-0.06779661016949153,-0.11764705882352941,-0.046875,0.5,-0.1111111111111111
2015-03,76,0.0,-0.21428571428571427,-0.16,0.3333333333333333,0.25
2015-04,80,-0.1125,0.0,-0.09523809523809523,-0.18181818181818182,0.0
2015-05,73,-0.0684931506849315,0.0,-0.2,-0.5714285714285714,0.25
2015-06,60,-0.2,-0.38461538461538464,-0.15384615384615385,-0.25,1.0
2015-07,61,-0.04918032786885246,-0.18181818181818182,0.1111111111111111,-0.17647058823529413,-0.5
2015-08,59,0.1016949152542373,0.08333333333333333,0.2857142857142857,0.1,0.0
2015-09,98,0.061224489795918366,0.022727272727272728,0.2,-0.14285714285714285,0.09090909090909091
2015-10,34,-0.058823529411764705,0.0,-0.25,0.3333333333333333,-1.0
2015-11,128,0.0546875,-0.35,0.09433962264150944,0.25,0.6666666666666666
2015-12,30,0.0,0.0,0.0,0.0,0.0
2016-01,94,-0.031914893617021274,0.02631578947368421,0.2857142857142857,0.0,0.3333333333333333
2016-02,50,-0.08,-0.1875,0.07142857142857142,1.0,1.0
2016-03,51,-0.0392156862745098,-0.21428571428571427,0.23076923076923078,-0.16666666666666666,0.0
2016-04,42,0.047619047619047616,0.14285714285714285,0.4444444444444444,0.1,0.0
2016-05,52,-0.15384615384615385,0.0,0.0,0.0,0.0
2016-06,29,0.10344827586206896,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.0
2016-07,58,0.06896551724137931,-0.06666666666666667,0.8333333333333334,-1.0,-0.3333333333333333
2016-08,40,0.025,0.0,-0.14285714285714285,0.0,0.25
2016-09,317,-0.05993690851735016,0.08333333333333333,-0.04568527918781726,-0.15,-0.6428571428571429
2016-10,362,-0.09944751381215469,-0.07317073170731707,-0.07916666666666666,-0.41379310344827586,0.3333333333333333
2016-11,136,0.007352941176470588,0.0,-0.0641025641025641,0.3,0.8
2016-12,142,-0.007042253521126761,0.016129032258064516,0.03636363636363636,-0.2857142857142857,0.3333333333333333
2017-01,107,0.056074766355140186,0.061224489795918366,-0.15789473684210525,0.16666666666666666,1.0
2017-02,49,0.16326530612244897,0.2413793103448276,-0.375,0.0,0.0
2017-03,72,0.0,-0.038461538461538464,0.13636363636363635,0.0,0.0
2017-04,63,0.1111111111111111,0.0,0.5,0.2727272727272727,0.0
2017-05,77,-0.06493506493506493,-0.10714285714285714,0.058823529411764705,-0.14285714285714285,0.0
2017-06,52,-0.1346153846153846,-0.4,0.3333333333333333,0.18181818181818182,-0.5
2017-07,61,0.2459016393442623,0.3125,0.2777777777777778,-0.2,0.5
