Date,전체주중주말,주운행선,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원,인구동태_출생아수(명),인구동태_사망자수(명),인구동태_자연증가건수(명),인구동태_조출생률(천명당),인구동태_조사망률(천명당),인구동태_자연증가율(천명당),인구동태_합계출산율(명),인구동태_출생성비(명),인구동태_영아사망률(출생아 천명당),인구동태_혼인건수(건),인구동태_조혼인율(천명당),인구동태_이혼건수(건),인구동태_조이혼율(천명당),인구동태_기대수명(출생시 기대여명),인구동태_기대수명(출생시 기대여명) - 남,인구동태_기대수명(출생시 기대여명) - 여,출국교통_계,출국교통_공항,출국교통_공항.1,출국교통_공항.2,출국교통_공항.3,출국교통_공항.4,출국교통_항구,출국교통_항구.1,출국교통_항구.2,출국교통_항구.3,입국목적_외래객입국사유_전체,입국목적_외래객입국사유_관광,입국목적_외래객입국사유_상용,입국목적_외래객입국사유_공융,입국목적_외래객입국사유_유학연수,입국목적_외래객입국사유_기타,CPI_총지수_원자료,CPI_총지수_전기대비증감,CPI_총지수_전년동기대비증감,CPI_총지수_이동평균(3기간),CPI_운송장비_원자료,CPI_운송장비_전기대비증감,CPI_운송장비_전년동기대비증감,CPI_운송장비_이동평균(3기간),CPI_개인운송장비 운영_원자료,CPI_개인운송장비 운영_전기대비증감,CPI_개인운송장비 운영_전년동기대비증감,CPI_개인운송장비 운영_이동평균(3기간),CPI_철도 여객수송_원자료,CPI_철도 여객수송_전기대비증감,CPI_철도 여객수송_전년동기대비증감,CPI_철도 여객수송_이동평균(3기간),CPI_도로 여객수송_원자료,CPI_도로 여객수송_전기대비증감,CPI_도로 여객수송_전년동기대비증감,CPI_도로 여객수송_이동평균(3기간),CPI_항공 및 수상여객운송_원자료,CPI_항공 및 수상여객운송_전기대비증감,CPI_항공 및 수상여객운송_전년동기대비증감,CPI_항공 및 수상여객운송_이동평균(3기간),CPI_기타 여객운송_원자료,CPI_기타 여객운송_전기대비증감,CPI_기타 여객운송_전년동기대비증감,CPI_기타 여객운송_이동평균(3기간),CCS_소비자심리지수_원자료,CCS_소비자심리지수_전기대비증감,CCS_소비자심리지수_전년동기대비증감,CCS_소비자심리지수_이동평균(3기간),경제활동_경제활동인구_원자료,경제활동_경제활동인구_전기대비증감,경제활동_경제활동인구_전년동기대비증감,경제활동_경제활동인구_이동평균(3기간),경제활동_실업률_원자료,경제활동_실업률_전기대비증감,경제활동_실업률_전년동기대비증감,경제활동_실업률_이동평균(3기간),경제활동_15세이상인구_원자료,경제활동_15세이상인구_전기대비증감,경제활동_15세이상인구_전년동기대비증감,경제활동_15세이상인구_이동평균(3기간),경제활동_비경제활동인구_원자료,경제활동_비경제활동인구_전기대비증감,경제활동_비경제활동인구_전년동기대비증감,경제활동_비경제활동인구_이동평균(3기간),경제활동_경제활동참가율_원자료,경제활동_경제활동참가율_전기대비증감,경제활동_경제활동참가율_전년동기대비증감,경제활동_경제활동참가율_이동평균(3기간),경제활동_고용률_원자료,경제활동_고용률_전기대비증감,경제활동_고용률_전년동기대비증감,경제활동_고용률_이동평균(3기간),sentiment_score,log_total_count
2015-01-01,주말,경부선,34020,1741181,1871129,496684.4937966917,37822.85988809839,533787.0924568394,15.054794352969704,183.87970504066388,9.691638546443782,0,218,0,6,212,84,84,154,1991,13164.713828574531,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1834538.0,1389993.0,226687.0,103088.0,4408.0,28329.0,50545.0,7553.0,24.0,23911.0,917054.0,723255.0,17686.0,3094.0,7752.0,165267.0,94.643,0.637,0.913,94.4,101.336,0.534,-0.012,100.9,106.239,-8.126,-20.973,107.6,91.619,1.981,1.981,91.0,85.896,0.124,0.403,85.9,98.721,-1.15,-8.58,97.7,90.656,0.873,5.156,90.7,103.2,1.5,-7.0,102.9,26380.0,-188.0,439.0,26540.0,3.7,0.4,0.3,3.8,43040.0,36.0,470.0,43042.0,16660.0,224.0,31.0,16502.0,61.3,-0.5,0.4,61.7,59.0,-0.7,0.2,59.3,-0.1066666666666666,4.31748811353631
2015-02-01,주말,경부선,28992,1488544,1533571,434612.9461250232,32762.08739919777,447295.7995,12.361342393427895,159.1958765830076,8.033689553580997,0,188,46,6,136,72,72,132,1705,10793.213240892148,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1445609.0,1102672.0,173950.0,86907.0,4132.0,13037.0,44152.0,4379.0,48.0,16332.0,1050706.0,815138.0,14354.0,2256.0,36399.0,182559.0,94.587,-0.056,0.607,94.6,100.706,-0.63,-0.493,100.8,102.071,-4.168,-24.853,104.6,91.619,0.0,1.981,91.6,85.896,0.0,0.308,85.9,94.413,-4.308,-8.978,94.1,91.516,0.86,3.118,91.3,103.9,0.7,-5.3,103.0,26671.0,291.0,379.0,26630.0,4.5,0.8,0.0,4.1,43081.0,41.0,465.0,43079.0,16410.0,-250.0,86.0,16449.0,61.9,0.6,0.2,61.8,59.1,0.1,0.2,59.3,-0.3865546218487395,4.77912349311153
2015-03-01,주말,경부선,31246,1607627,1780862,454810.9165851984,34157.90687,503277.60527084646,14.399537629185884,173.1093386452283,9.011709796142856,0,196,0,0,196,78,78,143,1837,12604.742509263786,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1416683.0,1072957.0,175351.0,86170.0,4276.0,12679.0,36822.0,6067.0,77.0,22284.0,1238144.0,958493.0,18549.0,3241.0,27129.0,230732.0,94.596,0.009,0.443,94.6,100.405,-0.301,-0.476,100.4,105.515,3.444,-21.49,104.4,91.619,0.0,1.981,91.6,85.896,0.0,0.271,85.9,89.082,-5.331,-11.634,91.5,91.589,0.073,3.858,91.6,102.0,-1.9,-7.7,103.6,26840.0,169.0,352.0,26905.0,4.0,-0.5,0.1,4.1,43117.0,36.0,461.0,43118.0,16277.0,-133.0,109.0,16213.0,62.2,0.3,0.1,62.4,59.8,0.7,0.1,59.8,0.0,4.343805421853684
2015-04-01,주말,경부선,28848,1491483,1681821,424444.35460162495,31774.29778612763,478264.49585267727,13.528453671358925,160.29538674628907,8.596620006536417,0,195,0,0,195,72,72,132,1656,12186.130338128734,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1495460.0,1108944.0,195851.0,85345.0,4155.0,24129.0,46589.0,7623.0,106.0,22718.0,1384567.0,1112904.0,17326.0,4913.0,5556.0,243868.0,94.625,0.029,0.411,94.7,100.135,-0.27,-1.094,100.2,105.494,-0.021,-20.925,106.0,91.619,0.0,1.981,91.6,85.896,0.0,0.271,85.9,91.062,1.98,-11.466,91.2,91.571,-0.018,3.741,91.5,104.9,2.9,-4.8,104.4,27204.0,364.0,186.0,27166.0,3.9,-0.1,0.1,3.9,43157.0,40.0,460.0,43156.0,15953.0,-324.0,274.0,15990.0,63.0,0.8,-0.3,62.9,60.6,0.8,-0.3,60.5,-0.2222222222222222,4.394449154672439
2015-05-01,주말,경부선,36102,1863967,2144330,531982.0939,40218.49723907493,611756.68,17.25137877430347,198.4818645650693,11.11625345,0,250,0,4,246,90,90,165,2072,15522.61846187918,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1579265.0,1172061.0,199356.0,88510.0,5786.0,26565.0,54680.0,10326.0,152.0,21829.0,1334212.0,1060730.0,19010.0,4679.0,9222.0,240571.0,94.89,0.265,0.521,94.8,100.085,-0.05,-1.383,100.0,107.005,1.511,-19.0,107.1,91.619,0.0,1.981,91.6,85.896,0.0,0.271,85.9,93.559,2.497,-9.548,92.8,91.461,-0.11,3.567,91.4,106.3,1.4,1.0,103.3,27453.0,249.0,387.0,27382.0,3.7,-0.2,0.2,3.8,43194.0,37.0,453.0,43194.0,15741.0,-212.0,67.0,15813.0,63.6,0.6,0.3,63.4,61.2,0.6,0.1,61.0,0.0675675675675675,4.30406509320417
2015-06-01,주말,경부선,28888,1483393,1125689,435541.6215731733,32015.50981165281,329390.2799353329,9.107812230014629,163.26697904262875,5.818152663245362,0,196,0,2,194,72,72,132,1658,8147.660548471048,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1373551.0,1048204.0,165805.0,73846.0,3688.0,16427.0,36952.0,8323.0,189.0,20117.0,750925.0,517926.0,12347.0,3122.0,11462.0,206068.0,94.909,0.019,0.661,95.0,99.725,-0.36,-1.653,99.9,108.738,1.733,-16.453,108.0,91.619,0.0,1.981,94.3,85.896,0.0,0.271,87.5,93.671,0.112,-9.977,96.1,91.278,-0.183,3.292,91.4,98.8,-7.5,-9.3,102.0,27488.0,35.0,357.0,27492.0,3.8,0.1,0.3,3.7,43232.0,38.0,449.0,43230.0,15744.0,3.0,92.0,15738.0,63.6,0.0,0.2,63.6,61.2,0.0,0.0,61.2,-0.0327868852459016,4.110873864173311
2015-07-01,주말,경부선,31254,1609540,1549797,469603.3074039333,35028.81259164799,451694.96345453087,12.515883914199687,174.3239300521098,8.100472982,0,250,0,0,250,78,78,143,1794,11230.65032721522,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1675332.0,1285585.0,200675.0,90832.0,2387.0,19175.0,45586.0,9222.0,111.0,21759.0,629737.0,419430.0,12867.0,3734.0,8477.0,185229.0,95.08,0.171,0.694,95.1,99.875,0.15,-1.463,100.0,108.307,-0.431,-16.62,107.8,99.513,7.894,9.875,96.9,90.653,4.757,5.028,89.2,101.179,7.508,-7.992,98.9,91.315,0.037,3.499,91.4,100.9,2.1,-4.7,100.6,27536.0,48.0,342.0,27439.0,3.6,-0.2,0.2,3.6,43265.0,33.0,445.0,43264.0,15730.0,-14.0,104.0,15826.0,63.6,0.0,0.1,63.4,61.3,0.1,-0.1,61.1,0.2741935483870967,4.127134385045092
2015-08-01,주말,경부선,32964,1677929,1773664,521993.0603003783,37907.38596243544,551666.3294273578,14.799312942526566,192.8529620036976,9.76341625634068,0,279,0,1,278,84,84,154,1932,12853.027215295362,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1835249.0,1381206.0,229054.0,98274.0,4917.0,29865.0,58726.0,10473.0,204.0,22530.0,1069314.0,730808.0,17385.0,4207.0,46365.0,270549.0,95.213,0.133,0.662,95.1,100.425,0.55,-0.496,99.9,106.491,-1.816,-17.575,106.3,99.513,0.0,9.875,99.5,90.989,0.336,5.276,90.9,101.818,0.639,-8.511,98.0,91.58,0.265,3.338,91.6,102.2,1.3,-5.3,102.2,27294.0,-242.0,217.0,27395.0,3.4,-0.2,0.1,3.4,43296.0,31.0,435.0,43296.0,16003.0,273.0,218.0,15902.0,63.0,-0.6,-0.2,63.2,60.9,-0.4,-0.2,61.1,0.1166666666666666,4.0943445622221
2015-09-01,주말,경부선,28394,1461774,1585350,435359.2359226395,31106.57688251469,471392.2408931001,12.99768713759692,167.98006231189908,8.210679623,3,246,51,9,189,72,72,132,1674,11353.780735262211,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1511657.0,1150899.0,184773.0,84994.0,4355.0,19918.0,40296.0,7356.0,177.0,18889.0,1206764.0,907874.0,16514.0,4442.0,20035.0,257899.0,94.966,-0.247,0.476,95.0,99.324,-1.101,-1.656,99.8,104.213,-2.278,-18.062,104.6,99.513,0.0,9.875,99.5,90.989,0.0,5.276,91.0,91.119,-10.699,-12.406,94.7,91.763,0.183,2.96,91.7,103.5,1.3,-4.9,103.9,27355.0,61.0,291.0,27336.0,3.2,-0.2,0.1,3.2,43328.0,32.0,431.0,43327.0,15973.0,-30.0,140.0,15991.0,63.1,0.1,0.0,63.1,61.1,0.2,0.0,61.1,-0.1212121212121212,4.59511985013459
2015-10-01,주말,경부선,32772,1681522,1939094,513922.9053214467,36892.95623559077,592221.4932289429,16.144039209513924,195.08369763495816,10.358295319073672,0,292,0,0,292,84,84,154,1931,14057.736471451582,438420.0,275895.0,162525.0,8.6,5.4,3.2,1.239,105.3,2.7,302828.0,5.9,109153.0,2.1,82.1,79.0,85.2,1735308.0,1289621.0,233248.0,94559.0,5801.0,30776.0,51427.0,7213.0,276.0,22387.0,1383704.0,1076153.0,18270.0,5404.0,7929.0,275948.0,94.966,0.0,0.761,94.9,99.785,0.461,-1.156,99.6,103.184,-1.029,-17.335,103.1,99.513,0.0,9.875,99.5,90.989,0.0,5.217,91.0,91.306,0.187,-10.938,90.3,91.864,0.101,2.897,91.8,106.1,2.6,0.5,105.4,27358.0,3.0,250.0,27337.0,3.1,-0.1,-0.1,3.1,43357.0,29.0,428.0,43357.0,15998.0,25.0,177.0,16020.0,63.1,0.0,0.0,63.0,61.2,0.1,0.1,61.1,0.1714285714285714,3.555348061489413
