Unnamed: 0,Date,공급차량수,공급좌석합계수,승차인원수,1인당단가,1인당거리,1좌석당단가,좌석회전율,1키로당단가,승차율,관광,일반,대수송,임시,확정,시발역,종착역,시발종착역,열차운행횟수,1열차당승차인원,경제활동인구_원자료,경제활동인구_전기대비증감,경제활동인구_전년동기대비증감,경제활동인구_이동평균(3기간),실업률_원자료,실업률_전기대비증감,실업률_전년동기대비증감,실업률_이동평균(3기간),15세이상인구_원자료,15세이상인구_전기대비증감,15세이상인구_전년동기대비증감,15세이상인구_이동평균(3기간),비경제활동인구_원자료,비경제활동인구_전기대비증감,비경제활동인구_전년동기대비증감,비경제활동인구_이동평균(3기간),경제활동참가율_원자료,경제활동참가율_전기대비증감,경제활동참가율_전년동기대비증감,경제활동참가율_이동평균(3기간),고용률_원자료,고용률_전기대비증감,고용률_전년동기대비증감,고용률_이동평균(3기간),소비자심리지수_원자료,소비자심리지수_전기대비증감,소비자심리지수_전년동기대비증감,소비자심리지수_이동평균(3기간),총지수_원자료,총지수_전기대비증감,총지수_전년동기대비증감,총지수_이동평균(3기간),운송장비_원자료,운송장비_전기대비증감,운송장비_전년동기대비증감,운송장비_이동평균(3기간),개인운송장비_운영_원자료,개인운송장비_운영_전기대비증감,개인운송장비_운영_전년동기대비증감,개인운송장비_운영_이동평균(3기간),철도_여객수송_원자료,철도_여객수송_전기대비증감,철도_여객수송_전년동기대비증감,철도_여객수송_이동평균(3기간),도로_여객수송_원자료,도로_여객수송_전기대비증감,도로_여객수송_전년동기대비증감,도로_여객수송_이동평균(3기간),항공_및_수상여객운송_원자료,항공_및_수상여객운송_전기대비증감,항공_및_수상여객운송_전년동기대비증감,항공_및_수상여객운송_이동평균(3기간),기타_여객운송_원자료,기타_여객운송_전기대비증감,기타_여객운송_전년동기대비증감,기타_여객운송_이동평균(3기간),내국인출입국_전체,내국인출입국_공항,내국인출입국_항구,외래객입국사유_전체,외래객입국사유_관광,외래객입국사유_상용,외래객입국사유_공융,외래객입국사유_유학연수,외래객입국사유_기타,Year,Month,출생아수_월평균_명,사망자수_월평균_명,자연증가건수_월평균_명,혼인건수_월평균_건,이혼건수_월평균_건,조출생률_천명당,조사망률_천명당,자연증가율_천명당,합계출산율_명,출생성비_명,조혼인율_천명당,조이혼율_천명당,Total_News_Count,Total_Sentiment_Mean,Sent_경제,Sent_사회,Sent_지역,Sent_정치,코로나기간,주말수,공휴일수,승차인원수_lag1,승차인원수_lag2,승차인원수_lag3,승차인원수_lag12,승차인원수_rolling_mean_3m,승차인원수_rolling_std_3m,승차인원수_전월대비증감률,is_holiday,weekday,is_weekend,TimeIndex,Month_sin,Month_cos,Quarter
0.0,2015-01-01,34020.0,1741181.0,1871129,496684.4937966917,37822.85988809839,533787.0924568394,15.054794352969704,183.87970504066388,9.691638546443782,0.0,218.0,0.0,6.0,212.0,84.0,84.0,154.0,1991.0,13164.713828574531,26380.0,-188.0,439.0,26540.0,3.7,0.4,0.3,3.8,43040.0,36.0,470.0,43042.0,16660.0,224.0,31.0,16502.0,61.3,-0.5,0.4,61.7,59.0,-0.7,0.2,59.3,103.2,1.5,-7.0,102.9,94.643,0.637,0.913,94.4,101.336,0.534,-0.012,100.9,106.239,-8.126,-20.973,107.6,91.619,1.981,1.981,91.0,85.896,0.124,0.403,85.9,98.721,-1.15,-8.58,97.7,90.656,0.873,5.156,90.7,1834538.0,1752505.0,82033.0,917054.0,723255.0,17686.0,3094.0,7752.0,165267.0,2015,1,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,74.0,-0.027027027027027,-0.0666666666666666,-0.0555555555555555,0.1111111111111111,-0.4,0.0,9.0,1.0,,,,,,,,1,3,0,1,0.49999999999999994,0.8660254037844387,1
1.0,2015-02-01,28992.0,1488544.0,1533571,434612.9461250232,32762.08739919777,447295.7995,12.361342393427895,159.1958765830076,8.033689553580997,0.0,188.0,46.0,6.0,136.0,72.0,72.0,132.0,1705.0,10793.213240892148,26671.0,291.0,379.0,26630.0,4.5,0.8,0.0,4.1,43081.0,41.0,465.0,43079.0,16410.0,-250.0,86.0,16449.0,61.9,0.6,0.2,61.8,59.1,0.1,0.2,59.3,103.9,0.7,-5.3,103.0,94.587,-0.056,0.607,94.6,100.706,-0.63,-0.493,100.8,102.071,-4.168,-24.853,104.6,91.619,0.0,1.981,91.6,85.896,0.0,0.308,85.9,94.413,-4.308,-8.978,94.1,91.516,0.86,3.118,91.3,1445609.0,1380698.0,64911.0,1050706.0,815138.0,14354.0,2256.0,36399.0,182559.0,2015,2,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,118.0,-0.0677966101694915,-0.1176470588235294,-0.046875,0.5,-0.1111111111111111,0.0,8.0,3.0,1871129.0,,,,1871129.0,,-18.040338212918503,0,6,1,2,0.8660254037844386,0.5000000000000001,1
2.0,2015-03-01,31246.0,1607627.0,1780862,454810.9165851984,34157.90687,503277.60527084646,14.399537629185884,173.1093386452283,9.011709796142856,0.0,196.0,0.0,0.0,196.0,78.0,78.0,143.0,1837.0,12604.742509263786,26840.0,169.0,352.0,26905.0,4.0,-0.5,0.1,4.1,43117.0,36.0,461.0,43118.0,16277.0,-133.0,109.0,16213.0,62.2,0.3,0.1,62.4,59.8,0.7,0.1,59.8,102.0,-1.9,-7.7,103.6,94.596,0.009,0.443,94.6,100.405,-0.301,-0.476,100.4,105.515,3.444,-21.49,104.4,91.619,0.0,1.981,91.6,85.896,0.0,0.271,85.9,89.082,-5.331,-11.634,91.5,91.589,0.073,3.858,91.6,1416683.0,1351433.0,65250.0,1238144.0,958493.0,18549.0,3241.0,27129.0,230732.0,2015,3,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,76.0,0.0,-0.2142857142857142,-0.16,0.3333333333333333,0.25,0.0,9.0,0.0,1533571.0,1871129.0,,,1702350.0,238689.5508437686,16.125174510994267,1,6,1,3,1.0,6.123233995736766e-17,1
3.0,2015-04-01,28848.0,1491483.0,1681821,424444.35460162495,31774.29778612763,478264.49585267727,13.528453671358925,160.29538674628907,8.596620006536417,0.0,195.0,0.0,0.0,195.0,72.0,72.0,132.0,1656.0,12186.130338128734,27204.0,364.0,186.0,27166.0,3.9,-0.1,0.1,3.9,43157.0,40.0,460.0,43156.0,15953.0,-324.0,274.0,15990.0,63.0,0.8,-0.3,62.9,60.6,0.8,-0.3,60.5,104.9,2.9,-4.8,104.4,94.625,0.029,0.411,94.7,100.135,-0.27,-1.094,100.2,105.494,-0.021,-20.925,106.0,91.619,0.0,1.981,91.6,85.896,0.0,0.271,85.9,91.062,1.98,-11.466,91.2,91.571,-0.018,3.741,91.5,1495460.0,1418424.0,77036.0,1384567.0,1112904.0,17326.0,4913.0,5556.0,243868.0,2015,4,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,80.0,-0.1125,0.0,-0.0952380952380952,-0.1818181818181818,0.0,0.0,8.0,0.0,1780862.0,1533571.0,1871129.0,,1728520.6666666667,174760.01322480303,-5.561407902465209,0,2,0,4,0.8660254037844387,-0.4999999999999998,2
4.0,2015-05-01,36102.0,1863967.0,2144330,531982.0939,40218.49723907493,611756.68,17.25137877430347,198.4818645650693,11.11625345,0.0,250.0,0.0,4.0,246.0,90.0,90.0,165.0,2072.0,15522.61846187918,27453.0,249.0,387.0,27382.0,3.7,-0.2,0.2,3.8,43194.0,37.0,453.0,43194.0,15741.0,-212.0,67.0,15813.0,63.6,0.6,0.3,63.4,61.2,0.6,0.1,61.0,106.3,1.4,1.0,103.3,94.89,0.265,0.521,94.8,100.085,-0.05,-1.383,100.0,107.005,1.511,-19.0,107.1,91.619,0.0,1.981,91.6,85.896,0.0,0.271,85.9,93.559,2.497,-9.548,92.8,91.461,-0.11,3.567,91.4,1579265.0,1492278.0,86987.0,1334212.0,1060730.0,19010.0,4679.0,9222.0,240571.0,2015,5,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,73.0,-0.0684931506849315,0.0,-0.2,-0.5714285714285714,0.25,0.0,10.0,2.0,1681821.0,1780862.0,1533571.0,,1665418.0,124458.84250225055,27.500489053234567,0,4,0,5,0.49999999999999994,-0.8660254037844387,2
5.0,2015-06-01,28888.0,1483393.0,1125689,435541.6215731733,32015.50981165281,329390.2799353329,9.107812230014629,163.26697904262875,5.818152663245362,0.0,196.0,0.0,2.0,194.0,72.0,72.0,132.0,1658.0,8147.660548471048,27488.0,35.0,357.0,27492.0,3.8,0.1,0.3,3.7,43232.0,38.0,449.0,43230.0,15744.0,3.0,92.0,15738.0,63.6,0.0,0.2,63.6,61.2,0.0,0.0,61.2,98.8,-7.5,-9.3,102.0,94.909,0.019,0.661,95.0,99.725,-0.36,-1.653,99.9,108.738,1.733,-16.453,108.0,91.619,0.0,1.981,94.3,85.896,0.0,0.271,87.5,93.671,0.112,-9.977,96.1,91.278,-0.183,3.292,91.4,1373551.0,1307970.0,65581.0,750925.0,517926.0,12347.0,3122.0,11462.0,206068.0,2015,6,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,60.0,-0.2,-0.3846153846153846,-0.1538461538461538,-0.25,1.0,0.0,8.0,0.0,2144330.0,1681821.0,1780862.0,,1869004.3333333333,243527.09698169804,-47.50392896615726,0,0,0,6,1.2246467991473532e-16,-1.0,2
6.0,2015-07-01,31254.0,1609540.0,1549797,469603.3074039333,35028.81259164799,451694.96345453087,12.515883914199687,174.3239300521098,8.100472982,0.0,250.0,0.0,0.0,250.0,78.0,78.0,143.0,1794.0,11230.65032721522,27536.0,48.0,342.0,27439.0,3.6,-0.2,0.2,3.6,43265.0,33.0,445.0,43264.0,15730.0,-14.0,104.0,15826.0,63.6,0.0,0.1,63.4,61.3,0.1,-0.1,61.1,100.9,2.1,-4.7,100.6,95.08,0.171,0.694,95.1,99.875,0.15,-1.463,100.0,108.307,-0.431,-16.62,107.8,99.513,7.894,9.875,96.9,90.653,4.757,5.028,89.2,101.179,7.508,-7.992,98.9,91.315,0.037,3.499,91.4,1675332.0,1598654.0,76678.0,629737.0,419430.0,12867.0,3734.0,8477.0,185229.0,2015,7,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,61.0,-0.0491803278688524,-0.1818181818181818,0.1111111111111111,-0.1764705882352941,-0.5,0.0,8.0,0.0,1125689.0,2144330.0,1681821.0,,1650613.3333333333,510037.0678336363,37.67541479040837,0,2,0,7,-0.4999999999999997,-0.8660254037844388,3
7.0,2015-08-01,32964.0,1677929.0,1773664,521993.0603003783,37907.38596243544,551666.3294273578,14.799312942526566,192.8529620036976,9.76341625634068,0.0,279.0,0.0,1.0,278.0,84.0,84.0,154.0,1932.0,12853.027215295362,27294.0,-242.0,217.0,27395.0,3.4,-0.2,0.1,3.4,43296.0,31.0,435.0,43296.0,16003.0,273.0,218.0,15902.0,63.0,-0.6,-0.2,63.2,60.9,-0.4,-0.2,61.1,102.2,1.3,-5.3,102.2,95.213,0.133,0.662,95.1,100.425,0.55,-0.496,99.9,106.491,-1.816,-17.575,106.3,99.513,0.0,9.875,99.5,90.989,0.336,5.276,90.9,101.818,0.639,-8.511,98.0,91.58,0.265,3.338,91.6,1835249.0,1743316.0,91933.0,1069314.0,730808.0,17385.0,4207.0,46365.0,270549.0,2015,8,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,59.0,0.1016949152542373,0.0833333333333333,0.2857142857142857,0.1,0.0,0.0,10.0,1.0,1549797.0,1125689.0,2144330.0,,1606605.3333333333,511691.08041115326,14.44492407715332,0,5,1,8,-0.8660254037844384,-0.5000000000000004,3
8.0,2015-09-01,28394.0,1461774.0,1585350,435359.2359226396,31106.57688251469,471392.2408931001,12.99768713759692,167.98006231189908,8.210679623,3.0,246.0,51.0,9.0,189.0,72.0,72.0,132.0,1674.0,11353.780735262211,27355.0,61.0,291.0,27336.0,3.2,-0.2,0.1,3.2,43328.0,32.0,431.0,43327.0,15973.0,-30.0,140.0,15991.0,63.1,0.1,0.0,63.1,61.1,0.2,0.0,61.1,103.5,1.3,-4.9,103.9,94.966,-0.247,0.476,95.0,99.324,-1.101,-1.656,99.8,104.213,-2.278,-18.062,104.6,99.513,0.0,9.875,99.5,90.989,0.0,5.276,91.0,91.119,-10.699,-12.406,94.7,91.763,0.183,2.96,91.7,1511657.0,1444939.0,66718.0,1206764.0,907874.0,16514.0,4442.0,20035.0,257899.0,2015,9,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,98.0,0.0612244897959183,0.0227272727272727,0.2,-0.1428571428571428,0.0909090909090909,0.0,8.0,2.0,1773664.0,1549797.0,1125689.0,,1483050.0,329103.7399711525,-10.617230772006426,0,1,0,9,-1.0,-1.8369701987210297e-16,3
9.0,2015-10-01,32772.0,1681522.0,1939094,513922.9053214467,36892.95623559077,592221.4932289429,16.144039209513924,195.08369763495816,10.358295319073672,0.0,292.0,0.0,0.0,292.0,84.0,84.0,154.0,1931.0,14057.736471451582,27358.0,3.0,250.0,27337.0,3.1,-0.1,-0.1,3.1,43357.0,29.0,428.0,43357.0,15998.0,25.0,177.0,16020.0,63.1,0.0,0.0,63.0,61.2,0.1,0.1,61.1,106.1,2.6,0.5,105.4,94.966,0.0,0.761,94.9,99.785,0.461,-1.156,99.6,103.184,-1.029,-17.335,103.1,99.513,0.0,9.875,99.5,90.989,0.0,5.217,91.0,91.306,0.187,-10.938,90.3,91.864,0.101,2.897,91.8,1735308.0,1654005.0,81303.0,1383704.0,1076153.0,18270.0,5404.0,7929.0,275948.0,2015,10,36535.0,22991.25,13543.75,25235.666666666668,9096.083333333334,8.6,5.4,3.2,1.239,105.3,5.9,2.1,34.0,-0.0588235294117647,0.0,-0.25,0.3333333333333333,-1.0,0.0,9.0,1.0,1585350.0,1773664.0,1549797.0,,1636270.3333333333,120306.9768647409,22.31330620998517,0,3,0,10,-0.8660254037844386,0.5000000000000001,4
